L        beta       energy       spec-heat    abs-magnet   suscept
020      0.4286      -0.677000        0.434470             0.611450         7.448616
020      0.4452      -0.728500        0.448205             0.714900         5.697084
020      0.3696      -0.476550        0.146042             0.181550         3.147267
020      0.4606      -0.785400        0.341706             0.812950         2.363228
020      0.3115      -0.372750        0.093429             0.112900         0.905955
020      0.4818      -0.834550        0.217819             0.876600         0.583289
020      0.3224      -0.396500        0.095069             0.137950         1.170866
020      0.3955      -0.542750        0.231754             0.258300         4.781604
020      0.5000      -0.870400        0.189761             0.906850         0.499837
020      0.4142      -0.602100        0.271369             0.403500         7.776977
020      0.3728      -0.498700        0.147450             0.213450         3.622825
020      0.4301      -0.679150        0.432798             0.607050         7.651004
020      0.5372      -0.920400        0.115471             0.950900         0.118116
020      0.5027      -0.881300        0.214076             0.917750         0.371311
020      0.4467      -0.741000        0.383944             0.722100         5.083050
020      0.4838      -0.844000        0.240120             0.884750         0.613834
020      0.4622      -0.795200        0.234617             0.825250         1.200960
020      0.3976      -0.560900        0.354387             0.353650         6.939279
020      0.3310      -0.396600        0.083406             0.129550         1.331595
020      0.4639      -0.802150        0.291366             0.828250         2.869166
020      0.5433      -0.917350        0.127215             0.946850         0.187644
020      0.3758      -0.490450        0.134299             0.208400         3.241595
020      0.4159      -0.603450        0.343818             0.402500        10.421578
020      0.4317      -0.662500        0.383297             0.539050         9.517280
020      0.5055      -0.879900        0.205118             0.915450         0.408314
020      0.4859      -0.848350        0.218821             0.887750         0.655048
020      0.4655      -0.802950        0.318264             0.837400         1.476595
020      0.4482      -0.738100        0.343598             0.744400         2.641398
020      0.3996      -0.556350        0.222083             0.318600         7.318535
020      0.5504      -0.926950        0.134327             0.954950         0.157725
020      0.3787      -0.497050        0.187592             0.198900         3.673669
020      0.4497      -0.749350        0.378932             0.730050         5.556124
020      0.4332      -0.705900        0.419423             0.644600         7.802492
020      0.3381      -0.419250        0.107129             0.140400         1.282653
020      0.4672      -0.811200        0.241990             0.843850         1.085934
020      0.4880      -0.857700        0.223660             0.893550         0.611394
020      0.5085      -0.881700        0.187673             0.920350         0.291895
020      0.4175      -0.620450        0.433491             0.433750         9.276448
020      0.4512      -0.758300        0.268038             0.783300         1.620910
020      0.5590      -0.934900        0.084519             0.960500         0.078539
020      0.4016      -0.563600        0.376377             0.338700         8.173793
020      0.4902      -0.864950        0.213559             0.905600         0.424705
020      0.3442      -0.435200        0.140952             0.177350         1.904417
020      0.4347      -0.711350        0.460159             0.669150         7.014432
020      0.4192      -0.638750        0.363997             0.514600         8.105692
020      0.5117      -0.891450        0.209508             0.926850         0.335430
020      0.4689      -0.818600        0.344849             0.851250         1.230520
020      0.3814      -0.513800        0.210063             0.245000         4.705177
020      0.4035      -0.573450        0.294069             0.362200         6.052165
020      0.4528      -0.771900        0.307280             0.797600         2.277686
020      0.4362      -0.713450        0.447854             0.676600         6.451202
020      0.4543      -0.758700        0.458515             0.733500         7.246206
020      0.3495      -0.440400        0.109671             0.166150         1.799230
020      0.4706      -0.816250        0.239760             0.853500         0.853352
020      0.4208      -0.637800        0.355824             0.511700         8.144095
020      0.3840      -0.510850        0.131064             0.221050         4.088118
020      0.5151      -0.890600        0.186680             0.926350         0.305527
020      0.4054      -0.573750        0.319736             0.360800         7.918903
020      0.5698      -0.933800        0.123600             0.959200         0.111520
020      0.4224      -0.640400        0.519493             0.497500        11.559927
020      0.4377      -0.687300        0.351583             0.633050         5.586876
020      0.4239      -0.646800        0.399531             0.546550         8.250501
020      0.3543      -0.454150        0.141354             0.188350         2.527554
020      0.5188      -0.893250        0.157266             0.929950         0.200547
